	product_id	category_id
0	325286	12171
1	888134	14233
3	1267173	13429
4	1416943	2789
5	1058275	12834
6	598728	13337
7	1035042	12909
8	1907369	11937
9	1110588	11956
10	1535362	14922
11	1336137	13856
12	1834526	13786
13	1583656	12282
14	344626	15035
15	920993	11624
16	2044983	11937
17	825976	12266
18	1562046	14190
19	1966085	13171
20	1905935	11937
21	230665	13027
22	2027918	13381
23	2052045	11937
24	429309	12493
25	1977095	12690
26	246453	13429
27	358230	13537
28	2052506	11937
29	1902216	11937
30	436636	13381
31	328919	12301
32	822305	13564
33	572092	14922
34	1598892	12604
35	1374819	13511
36	1091184	14237
37	131637	13616
38	90785	11937
40	731759	12250
41	1287141	14969
42	1370195	11937
43	1368529	14014
44	430278	12176
45	313	13986
47	1585696	13905
48	1070752	12630
49	644531	11937
50	761350	12604
51	2043464	12980
52	839802	11937
53	1540691	11937
54	719203	12674
55	597912	14171
56	1671339	12604
57	832861	14216
58	1075678	13253
59	899441	13704
61	1174684	14237
62	116626	13651
63	1780411	12266
64	346214	11937
65	1780767	13152
66	420450	14242
67	1197318	12721
68	1805576	11937
69	412127	12652
70	1583600	12523
71	172790	13143
72	283571	13094
73	1937258	2735
74	1434672	11937
75	332360	14922
76	1478748	13554
77	1936695	12690
78	1290915	14927
79	904504	2824
80	984519	11757
81	691369	11937
82	1271712	13024
83	520320	12128
84	1509556	12604
85	344051	12272
86	490778	11956
87	1929341	14922
88	555590	2731
89	52911	12171
90	1152184	11937
91	801763	12548
92	1095903	14922
93	845674	13263
94	1783675	11956
95	1642510	2827
96	1740987	11937
97	614833	12171
98	292339	12176
99	1608783	11931
100	600012	13781
101	105329	2803
102	894322	12250
103	1982053	14922
104	630403	13982
105	2012858	13083
106	838398	13451
107	1232156	14233
108	233108	14233
109	300132	14036
110	1866005	13571
112	1926437	13384
113	609303	11937
115	406729	11937
116	432225	12604
117	1798499	13143
119	305253	12834
120	207754	11937
121	691046	14233
122	415436	12272
123	615992	2796
124	1538420	14050
125	613868	12197
126	454477	11937
127	1832110	11937
128	1511927	14541
129	1716562	14706
130	2005731	11757
131	1292960	12630
132	546687	11937
133	621913	13253
134	1757402	11752
135	1048886	12956
136	1815290	11937
137	620263	2742
138	1993240	12690
140	862841	13904
141	603441	14922
142	1200572	2803
143	329245	11937
144	828854	11937
145	704983	13515
146	2007397	11937
147	895305	14233
148	2033601	11937
149	2007009	11937
150	528027	10309
153	1168898	12456
154	1806812	13028
155	457017	14241
156	272711	13033
158	1200285	13076
159	690949	15035
160	321506	14037
161	277418	11937
162	1826659	14014
163	428555	11956
165	1303070	2778
166	1370517	13381
167	267789	11937
168	713166	2752
170	1865404	12683
171	252307	12640
172	270687	12664
174	634139	14922
175	1730290	12841
176	2001164	12222
177	303395	11805
178	1429665	12834
179	1383089	14050
180	1783975	12690
181	1557331	14233
182	967060	2824
183	1408821	13571
184	828607	11602
185	1995865	14225
186	2074648	14095
188	362469	11937
190	2032015	2741
191	142122	11937
192	1443250	11937
193	1659660	11937
195	811477	13983
196	322505	12415
197	1509692	13094
198	31277	14094
199	1869865	14216
200	2066004	12980
201	436523	11937
202	164965	11937
203	1151353	11931
204	211885	12171
205	1141973	2762
206	1231043	12604
207	1093065	14274
208	1964067	13157
210	509260	12909
211	1791747	11937
212	668563	13322
213	517734	14922
214	1019473	15034
215	2024904	11757
216	1139451	13831
217	512028	10309
218	940092	12910
220	730156	13429
221	576151	2599
222	1668018	14686
223	994570	13658
224	312283	15034
225	1218553	14924
226	1213744	13745
227	809674	13253
228	153195	13384
229	309968	13088
230	1158591	14037
231	311740	11937
232	286894	11575
233	887856	12250
234	1544983	14242
236	1795324	12250
238	1019892	11937
239	145498	12210
240	835862	11937
241	673273	14233
242	589255	11937
243	418822	12909
244	1983111	14037
245	826261	13152
246	182030	11937
247	1703812	14680
248	270210	12514
249	616143	2825
250	1185226	12082
251	327458	12381
252	823004	13094
253	1583668	12282
254	1266014	14099
255	259278	14922
256	1747896	14171
257	904062	2748
259	1978798	13533
261	1269958	12272
262	1850270	12282
263	1750537	13847
264	1460703	12674
265	238359	14233
266	1208177	12265
267	561490	14242
268	1378996	13389
269	1923069	13205
270	532082	13028
271	627485	11924
272	826278	14190
273	1427729	14036
274	266486	2754
277	1445499	14398
278	2053093	13027
279	509360	12158
281	1772828	12980
282	334578	13651
286	947613	11937
287	830480	14191
288	1077902	2747
289	1969585	14274
290	1561110	15054
291	1694129	12128
293	1743801	11937
294	941827	12630
295	711098	13260
296	1926419	12301
297	123361	12514
298	871491	13143
299	208980	13253
300	620877	14873
301	1060117	13616
302	605389	14242
304	1947088	11937
305	1977915	14927
307	782201	13205
308	676820	14191
310	2023988	14680
311	345412	13384
313	561440	12128
314	1083659	11937
315	1227764	13358
316	677584	12128
317	433740	11937
318	615420	14923
319	533440	11937
320	487168	13273
321	879969	13651
322	584559	12914
323	1099051	2769
324	951378	14922
325	375680	14030
326	143236	12456
327	549410	2881
328	214569	12741
329	284815	11937
330	609000	11937
331	1829762	14611
332	455953	2778
333	1745959	11937
334	1156906	14233
335	1429173	12088
336	781973	14191
337	1773364	14023
338	1333252	11956
339	474353	14191
341	955562	11937
342	529437	2599
343	788965	14190
345	1630372	11980
347	2030029	14242
349	373876	13253
350	373666	12088
351	988105	13143
352	1140681	13263
353	825335	13370
354	1025220	11937
355	557535	12282
356	287169	11575
357	718139	2741
358	217821	13651
359	1562323	14190
360	1747294	13187
361	1219668	11757
362	329236	11937
363	1110368	11956
364	585763	14922
365	480601	11937
366	1367691	11602
367	651998	2777
368	23547	11956
369	1327142	12683
370	290712	13094
372	520432	11937
374	202057	13429
375	1181686	14922
376	266461	14922
377	945136	13674
378	560561	12910
379	1108606	11956
380	1077334	12630
381	1660098	12604
382	377168	12768
383	1345557	14237
384	1828693	14922
385	556353	2735
386	1264413	12909
387	53142	13095
388	364038	14922
389	1232393	14279
390	244390	14927
391	625181	11937
392	863340	11937
393	1851587	11764
394	694651	12683
395	1859034	13651
396	239092	11937
397	1195767	13297
398	223015	14233
399	630287	2771
400	1151231	11937
401	1083839	13651
402	866921	12910
403	2019501	11757
404	591539	12683
405	112398	2846
406	30671	13407
407	1897445	11937
408	1080120	11937
409	302830	11937
410	711513	11937
411	1115381	13407
412	1963183	13684
413	722956	12980
414	724673	14922
415	286517	12266
416	565750	11934
417	1664901	12082
418	322552	12100
419	1034004	12381
420	345998	14922
421	1820570	14242
422	425911	12834
423	506384	12697
424	2068363	14922
426	669908	2824
427	2089413	14922
428	2048164	12683
429	1990106	13381
430	1396352	12482
431	105429	12157
432	604845	13253
433	114822	11937
434	709021	14233
435	338004	12523
436	1418096	11937
437	1631400	13885
438	744308	12980
439	1282390	14216
441	1011359	11805
442	671619	11937
443	1728977	13616
444	1060364	12657
445	1170488	11937
446	97321	12741
447	730413	11508
448	823453	12604
449	1666657	14922
450	1079998	11937
451	1717461	12082
452	291305	11805
453	410266	14390
454	326636	13427
455	1011835	12519
456	838887	12913
457	206850	2833
458	794958	11937
459	1814928	12980
460	772642	14099
461	1057909	13148
462	891045	12272
464	384827	14922
465	1134990	12690
466	1593844	2803
467	838196	13511
468	2049900	14262
469	821344	12415
470	923347	13821
471	272576	14037
472	1270969	13352
473	1401649	13674
474	208650	11937
476	1719239	2754
477	86252	13187
478	533274	12082
479	53112	12657
480	1505770	14003
481	816056	2754
482	273555	13083
483	1249554	2599
485	894056	13384
486	289477	11937
487	488606	14030
488	713331	12082
489	2058151	2754
490	1385110	12523
491	1463038	11879
492	1197789	14922
493	1520360	11508
494	402159	13152
495	84172	12222
496	754832	13253
497	1486044	12282
498	631507	13152
500	494784	11937
501	401026	12980
502	1365022	13901
503	855849	11937
505	538270	13028
506	1468736	13905
507	1362350	12604
508	1173188	12731
509	1798933	11889
510	1065603	12044
511	146548	12980
512	572247	13982
513	2012550	14938
514	1936185	12980
515	493065	13324
516	1822227	13415
517	218665	12883
518	721428	11790
519	1603517	12282
520	1681808	12357
521	1906136	11902
522	1212850	12222
523	1428892	12683
524	634754	14870
525	1870456	12222
526	1620487	14551
527	1401366	11999
528	1455872	12210
529	1967637	11988
530	866950	2778
